id,psgc,type,name
1000000000,,1,Region I (Ilocos region)
1340000000,,2,Ilocos Norte
1340589000,,3,Adams
1340589001,,4,Adams
1340590000,,3,Bacarra
1340590001,,4,Bani
1340590002,,4,Buyon
1340590003,,4,Cabaruan
1340590004,,4,Cabulalaan
1340590005,,4,Cabusligan
1340590006,,4,Cadaratan
1340590007,,4,Calioet-Libong
1340590008,,4,Casilian
1340590009,,4,Corocor
1340590010,,4,Duripes
1340590011,,4,Ganagan
1340590012,,4,Libtong
1340590013,,4,Macupit
1340590014,,4,Nambaran
1340590015,,4,Natba
1340590016,,4,Paninaan
1340590017,,4,Pasiocan
1340590018,,4,Pasngal
1340590019,,4,Pipias
1340590020,,4,Pulangi
1340590021,,4,Pungto
1340590022,,4,San Agustin I
1340590023,,4,San Agustin II
1340590024,,4,San Andres I
1340590025,,4,San Andres II
1340590026,,4,San Gabriel I
1340590027,,4,San Gabriel II
1340590028,,4,San Pedro I
1340590029,,4,San Pedro II
1340590030,,4,San Roque I
1340590031,,4,San Roque II
1340590032,,4,San Simon I
1340590033,,4,San Simon II
1340590034,,4,San Vicente
1340590035,,4,Sangil
1340590036,,4,Santa Filomena I
1340590037,,4,Santa Filomena II
1340590038,,4,Santa Rita
1340590039,,4,Santo Cristo I
1340590040,,4,Santo Cristo II
1340590041,,4,Tambidao
1340590042,,4,Teppang
1340590043,,4,Tubburan
1340591000,,3,Badoc
1340591001,,4,Alay-Nangbabaan
1340591002,,4,Alogoog
1340591003,,4,Ar-Arusip
1340591004,,4,Aring
1340591005,,4,Balbaldez
1340591006,,4,Bato
1340591007,,4,Camanga
1340591008,,4,Canaan
1340591009,,4,Caraitan
1340591010,,4,Gabut Norte
1340591011,,4,Gabut Sur
1340591012,,4,Garreta
1340591013,,4,La Virgen Milagrosa
1340591014,,4,Labut
1340591015,,4,Lacuben
1340591016,,4,Lubigan
1340591017,,4,Mabusag Norte
1340591018,,4,Mabusag Sur
1340591019,,4,Madupayas
1340591020,,4,Morong
1340591021,,4,Nagrebcan
1340591022,,4,Napu
1340591023,,4,Pagsanahan Norte
1340591024,,4,Pagsanahan Sur
1340591025,,4,Paltit
1340591026,,4,Parang
1340591027,,4,Pasuc
1340591028,,4,Santa Cruz Norte
1340591029,,4,Santa Cruz Sur
1340591030,,4,Saud
1340591031,,4,Turod
1340592000,,3,Bangui
1340592001,,4,Abaca
1340592002,,4,Bacsil
1340592003,,4,Banban
1340592004,,4,Baruyen
1340592005,,4,Dadaor
1340592006,,4,Lanao
1340592007,,4,Malasin
1340592008,,4,Manayon
1340592009,,4,Masikil
1340592010,,4,Nagbalagan
1340592011,,4,Payac
1340592012,,4,San Isidro
1340592013,,4,San Lorenzo
1340592014,,4,Taguiporo
1340592015,,4,Utol
1340593000,,3,Banna
1340593001,,4,Balioeg
1340593002,,4,Bangsar
1340593003,,4,Barbarangay
1340593004,,4,Binacag
1340593005,,4,Bomitog
1340593006,,4,Bugasi
1340593007,,4,Caestebanan
1340593008,,4,Caribquib
1340593009,,4,Catagtaguen
1340593010,,4,Crispina
1340593011,,4,Hilario
1340593012,,4,Imelda
1340593013,,4,Lorenzo
1340593014,,4,Macayepyep
1340593015,,4,Marcos
1340593016,,4,Nagpatayan
1340593017,,4,Sinamar
1340593018,,4,Tabtabagan
1340593019,,4,Valdez
1340593020,,4,Valenciano
1340594000,,3,Batac City
1340594001,,4,San Pedro
1340594002,,4,Suabit
1340594003,,4,Sumader
1340594004,,4,Tabug
1340594005,,4,Valdez Poblacion
1340594006,,4,Ablan Poblacion
1340594007,,4,Acosta Poblacion
1340594008,,4,Aglipay
1340594009,,4,Baay
1340594010,,4,Baligat
1340594011,,4,Baoa East
1340594012,,4,Baoa West
1340594013,,4,Barani
1340594014,,4,Ben-Agan
1340594015,,4,Bil-Loca
1340594016,,4,Biningan
1340594017,,4,Bungon
1340594018,,4,Callaguip
1340594019,,4,Camandingan
1340594020,,4,Camguidan
1340594021,,4,Cangrunaan
1340594022,,4,Capacuan
1340594023,,4,Caunayan
1340594024,,4,Colo
1340594025,,4,Dariwdiw
1340594026,,4,Lacub
1340594027,,4,Mabaleng
1340594028,,4,Magnuang
1340594029,,4,Maipalig
1340594030,,4,Nagbacalan
1340594031,,4,Naguirangan
1340594032,,4,Palongpong
1340594033,,4,Palpalicong
1340594034,,4,Parangopong
1340594035,,4,Payao
1340594036,,4,Pimentel
1340594037,,4,Quiling Norte
1340594038,,4,Quiling Sur
1340594039,,4,Quiom
1340594040,,4,Rayuray
1340594041,,4,Ricarte Poblacion
1340594042,,4,San Julian
1340594043,,4,San Mateo
1340595000,,3,Burgos
1340595001,,4,Ablan Sarat
1340595002,,4,Agaga
1340595003,,4,Bayog
1340595004,,4,Bobon
1340595005,,4,Buduan
1340595006,,4,Nagsurot
1340595007,,4,Paayas
1340595008,,4,Pagali
1340595009,,4,Poblacion
1340595010,,4,Saoit
1340595011,,4,Tanap
1340596000,,3,Carasi
1340596001,,4,Angset
1340596002,,4,Barbaqueso
1340596003,,4,Virbira
1340597000,,3,Currimao
1340597001,,4,Anggapang Norte
1340597002,,4,Anggapang Sur
1340597003,,4,Bimmanga
1340597004,,4,Cabuusan
1340597005,,4,Comcomloong
1340597006,,4,Gaang
1340597007,,4,Lang-Ayan-Baramban
1340597008,,4,Lioes
1340597009,,4,Maglaoi Centro
1340597010,,4,Maglaoi Norte
1340597011,,4,Maglaoi Sur
